"","AACT1","AACT2","CMK","DPPS1","DPPS2","DPPS3","DXPS1","DXPS2(cla1)","DXPS3","DXR","FPPS1","FPPS2","GGPPS1mt","GGPPS2","GGPPS3","GGPPS4","GGPPS5","GGPPS6","GGPPS8","GGPPS9","GGPPS10","GGPPS11","GGPPS12","GPPS","HDR","HDS","HMGR1","HMGR2","HMGS","IPPI1","IPPI2","MCT","MECPS","MK","MPDC1","MPDC2","PPDS1","PPDS2mt","UPPS1"
"c11",803.9,1072.3,1608.3,118.3,1003.5,10.9,157.4,22331.9,683.6,8344.1,357.5,1617.4,186.9,75.5,28.3,78.8,70.9,8.8,10.4,11.3,14,1799.9,3766.5,1008.8,14583.2,19782,10832.9,355.8,1280.5,2846.6,436,2100.7,6999.6,313,1158.4,145.6,1729.6,1233.9,382.8
"c12",424.7,763.8,2109.5,133.8,432.9,15,105.7,26868.7,671.9,11005.8,629.9,2282,27.9,49.1,6.1,120.9,13.7,8.5,13.8,4.9,24,2356.9,2090.8,1026.9,15580.9,14908.3,12172.9,331.4,1646.4,2564.1,406.6,3391.3,8288.3,603.4,1645,473.7,1794.4,1103.8,266.9
"c13",471.6,276.4,1016.8,67.8,2807.5,47.4,180.4,9582.6,523.3,2128.2,205,649.1,29,13.6,67.7,7.4,16.4,102.5,20.7,2,35.7,1223.1,648.6,1921.2,9072.2,7576.6,6567.5,261.4,615.7,1483,211.4,742,3527.7,290.9,429.1,70,2252,2789.7,520.8
"c14",172,2039.7,2850.6,49.7,16.2,11.1,30.5,20892.7,902.6,9540.3,1259.5,4847,108.3,8.1,2,9,8.5,51.8,3.1,6.2,17.1,3900.5,804.4,1102.8,8639,9758.2,7428.9,594,3174.5,2522.9,959,2992.7,5657.9,1373.7,1346.7,478.7,1006.9,657.1,278
"c15",636.4,2559.9,1344.6,241.4,1106.1,55.9,76.7,15583.2,585.3,6434.2,975.8,3695.6,18.1,8,23.3,129.9,60.2,162.9,11.7,11.1,30.9,1907.8,1327.6,1289.5,13668.4,7562,12263.8,500.3,3492.8,5477,827.5,1487.6,3730.4,1186.1,1797.2,568.1,2265.3,672,454.7
"c16",712.7,2721.4,1164.8,297.2,768.5,76.3,32.6,13636.7,520.8,5508.7,930.2,3604.6,131,11.2,27.7,12.6,12.1,176.8,56.9,9.6,66.9,1778.9,1289.9,1295.1,10530.2,7709.2,13910.1,694.5,3834.9,4496.3,728.2,1380.4,3445.9,1090.8,2222.1,568.1,2043.5,729.5,449.8
"c17",766.6,2756.2,986.5,375.5,1445.8,13.7,102.8,18246.1,645.7,6142.8,1034.8,3852.1,18.3,5.5,59.4,13.7,83.9,150,55.2,5.6,131.3,1718.9,1133.9,1276.5,10575.8,6708.1,14532.1,599.6,3809.4,5273.5,834.6,1515.2,3575.3,1270.9,1974.8,415.3,1677.7,467.5,576
"c18",699.2,2881.7,1132,231.9,1164,110,75.1,18038.8,722,6059.9,875,3923.4,30.5,11.2,10,43.1,11.1,173.1,49.6,12.3,31.6,1900.1,1293.1,953.2,9612.7,7331.4,20641.8,524.6,3007.3,4307.9,547.8,1430.4,3299.8,1135.1,1847.3,397.4,1790.6,407.3,496.7
"c19",743.6,2621.2,1212.2,285.7,352.1,18.8,38.5,14692,619.6,5262.5,799,3482.2,11.7,87.7,17.2,18.1,89.8,176.2,90.7,22.3,16.9,1402,1549,1024,11839.9,6930.8,16662.2,489.6,3109.6,4537.3,926,1083.4,4085,1119.5,1816.5,496.4,1311,415,443.7
"c20",919.7,2694.5,1125.7,242.7,333.5,70.6,77.7,14086.2,635.8,5281.6,868,4614.4,121.2,73.9,6.3,71.2,23.6,88.1,131.7,5.5,8.8,1643.8,1332.4,1007.1,11308.4,7541.1,13969.9,511.9,3333.2,4696.7,898.8,1416.7,3567.9,1282.3,2050,508.2,1389.4,410.9,419
"c21",687.8,2239.5,1243.7,248.8,433.4,7.1,12.5,14432.3,693.9,4977,959.8,3215.5,166.8,11.9,35,10.5,4,66,22.9,1.7,64.4,2169.2,1587.6,1038.7,9659.8,6190,11281.9,622.3,2414.5,3732.1,1156.9,1715.7,3230.8,1395.1,1395.7,549.9,1015.4,445,486
"c22",673.9,2393.8,1178.4,273,351,39.5,14.7,13444.4,737.7,4199.2,797.9,2631.1,78.3,8.2,1.8,12.1,51.2,71.7,21.2,7.2,21.8,2142.9,1559.9,1142.5,7774,5186.6,11027.1,514.2,2186.5,3381.1,1012,1417.9,3099.2,1027.6,1255.6,459.4,806.9,432.7,627.3
"c23",898,951.6,1803.6,41,1102.8,63.8,31.6,25979.5,915.7,8163.8,490.3,1939.3,134.3,14.5,35.4,26.1,9.1,11,13.5,4.4,7,1547.4,2643.3,809.6,18951.3,13934.1,12323.1,334.4,1442,3130.9,436.1,2379.3,5776.5,328.6,999.4,156.6,2089.1,1646.8,467.3
"c24",883.4,1284,1035.9,55.4,321.7,7.6,8.9,16719.8,607.4,3955.1,547.3,1475.5,174.2,12.2,2.3,86.1,23.4,45.6,4.9,17.1,48.8,1388.2,2376.8,666.9,7755.9,7692.1,19734.9,367.5,1143,2541.5,382.5,1481.5,3121,374.6,1323.3,203.5,356.4,558.4,498.4
"c25",467.6,1062.6,1230.9,63.8,1723.4,35.7,21.1,11412,552.4,3279.4,449,1224.5,191.7,86.9,2.4,104.6,11.1,45.7,4.2,34.8,64.3,1179.3,1615.7,1154.3,6467,9545.4,14296.1,446.4,907.6,2167.1,195,1126.8,2935.4,382.9,779.7,69.6,462,618.3,389.2
"c26",540.8,1143.3,1150.5,22.6,411.3,12,74,14071,504.3,4143.7,286.1,1225.1,119,28.7,5.6,41.3,7,10.9,5.3,7.5,8.4,982.2,2010,812.7,8568.2,10613,16883.1,409.4,1059.6,1929.7,328,1031.5,3867.1,348.4,1056.7,64.8,675.5,710.1,450.8
"c27",556.9,1160.4,975,74.1,441.1,33.7,3335.8,6504.5,639,2280.3,341.9,1588.8,97.1,27.9,18.8,45.1,39.7,12.7,12,6.3,64.8,1842.1,5327.8,1896.4,4369.6,12631.7,11874.9,501.6,1377.4,3727.5,710.5,489.7,3651.5,360.2,752.5,148.6,518.9,727.2,529.1
"c28",503.2,1650.5,1072.7,132.4,282.5,13.8,1330.8,5369.9,324.5,2335.5,699.9,1797.4,12.7,70,3.4,75.5,75.2,6.2,16,12.7,21.7,1009.7,4296.1,2338.1,4231.4,8081.4,8064.2,372.5,1398.1,4941.5,1085.4,574.5,4230.8,624.1,1423.9,228.9,524.3,627.6,446.3
"c29",271.4,1301.6,1257.7,91.5,615.6,14.3,341.6,4194.9,571.6,2346.8,962.8,1870.6,141.8,10.2,9.2,40,77.9,73.3,3.3,1.7,23.9,2045.6,856.3,1964.1,2226.4,8148.5,4642,302,1636.7,2562.2,427.6,1120.7,3673.5,707.9,1250.6,302.8,736.9,612.5,488.6
"c30",337.2,1338.6,1255.2,74,1179.5,28.8,729.2,5542.3,518.2,2319.5,733.7,1792.1,46.5,6.9,19.3,16.4,70.2,6.7,10,7,9.4,1283.5,1148.6,2231.9,3465.6,8816.3,6762,339.6,1346,3339.1,643.4,1409.5,4251.7,614.2,1161.4,291.7,764.5,555.5,375.8
"c31",2778.1,3350.3,649.1,104.1,11.6,14.9,112.6,7017.1,449,1813.5,615.7,4981.5,219.6,149.5,15.9,19.3,7.6,151,66.9,45.1,17.9,955.5,1211.5,673.8,5056.5,2553.3,20543.8,868.5,2458.5,4532.3,477.7,672.7,992,1706,1949.8,503.2,287.6,245.3,728.7
"c32",745.9,2150.9,1600.8,42.6,408.2,10.3,144.6,12827.2,770.2,5509.7,940.8,3059.8,147.1,56.1,82.2,6,83.5,105.1,14.8,26.2,152.1,2217.6,1649.5,1431.6,7443.4,11105.8,4981.5,542.5,1716.3,5007.1,986.1,1951.4,6097.2,1370.5,1706.5,387.8,1164.7,919.4,361.1
"c33",2658.4,3106.1,579.8,105.8,3.4,111.3,90.1,8492.8,487.8,1670.2,626.8,4172.6,182.8,96.6,20.8,89.8,22.4,80.1,10.5,57.9,35.8,1115.6,1207.5,798.8,6151.8,2793.2,18322.3,849.7,2014.6,4641.1,459.5,603.6,1142.7,1566.4,2391.1,355.6,351.4,307.1,698.4
"c34",2689.7,3052.4,756.3,282.6,46.9,22.2,75.5,9335.3,474.6,2036.7,652.5,4185,167.3,19.3,33.4,129.6,47.9,31.9,47.1,2.6,15.4,1218.7,1186.6,661.9,6662.5,2521.5,17183.7,794.5,2360.9,5176.8,445.5,445.8,1209.9,1672.9,2084.6,427.7,352.1,220.3,644.3
"c35",884.3,1928.5,1909,177,381.9,8.8,16.9,13220.2,722,5562,620.8,3375.7,186.4,8.3,67.8,92.9,5.5,116,21.4,53,9.8,1538.7,1577.1,1233.9,7520.6,10063.8,5772.5,509.3,1810.3,5049.7,528.2,2592.5,5879.8,1334.1,1463.3,314.8,1040.4,826.7,388.9
"c36",2123.5,2566.5,977.9,134.1,22.5,7,220,9403.4,508.7,1733.7,661.2,3984.2,234.1,142.7,48.2,10.8,4.6,7.4,25.3,8,37.8,1031.1,1037.9,559.7,6600.4,2527.8,12530.6,1061.6,1308.3,5758.1,747,559.2,1472.2,1454.8,1824,472.4,372.6,258.1,573.4
"c37",2393.3,3294.1,730.9,266.7,69.5,8.3,91.4,9377.8,637.8,1996.8,673.6,4134,27.8,129.2,37.6,12,15.8,13.6,24.9,23,185.6,988.3,987.4,558.8,5302.1,2524.5,19922.3,1024,2488.2,4748.3,489.2,293.1,908.9,1665.2,2091.3,354.6,227.5,254,542.7
"c38",700.5,2332.6,2008,134,564.1,56,20.8,12930,684.7,5566.9,774.7,3416.8,97.9,13.1,1.8,7.6,10.9,98.5,10.9,2.1,76,2521.1,1621.7,1329.2,5764.7,10118.3,5647.3,725.5,1903.7,5022,956.7,1946.3,5223.5,1465.4,1499.3,423.5,994.9,418,285.4
"c39",1546.6,2700.7,648.3,60.9,1789,6.9,26.5,12630.8,633.7,1824.5,419.8,4294.2,133.6,81.4,53.4,5.7,31.2,91.7,23.9,71.5,84,1645.1,1235.3,1600.7,6243.7,3255.2,16351.6,897.2,1560.7,4284.1,298.8,359.4,1473,1252.4,1947.8,205.7,2585.2,1606.7,569.9
"c40",2752.2,3420.8,641,359.2,5.3,40.8,34,3969.3,507.2,1473.9,710,4397.1,173,86.4,77.6,7.5,21.7,145.7,135.7,23.8,110.6,749.7,820.3,819.2,4769.1,1962.9,17888.6,964.9,3007.3,4968.6,618.4,315.6,1337.9,1979.3,2503.2,458.8,442.9,150.7,772.4
"c41",829.5,1934.4,2280.9,165.6,336.5,110.6,20.2,9208,644.4,5070.2,804.8,3468.3,112,105.6,175.9,10.2,65.3,199.5,5.6,60.6,145.1,2019.7,1590,1216.9,3484.8,9315.2,4141.4,615.5,1683.8,4091.7,680.7,2343.2,4633.6,1757,1194.6,296.8,826.6,622.5,406.6
"c42",1664,1772.4,1146,166.7,703.1,11.9,64.8,12460.8,549.8,3601.8,379.8,3112.7,34.5,15.5,7.8,106.5,20.5,201.8,25.9,16.5,128.5,1744.5,1589,1681.7,5511.6,4762.8,11343.6,635.7,1207,3981.9,335.4,773.5,2185.6,1199.3,1760.6,247.8,1220,1043.5,563.2
"c43",2961.2,2092.1,659.8,60.7,8,38.3,13.8,8161.2,511.6,1223.7,515.4,2414.7,145.1,14.6,62.4,28.6,10.9,119.6,87.7,5.9,168.7,900.5,972.5,766.9,8564.4,1558.4,20305.5,684,1021.8,3871.7,501.5,297.3,1047.1,1326.6,1514.4,329.8,295.2,305.9,1003.9
"c44",888.6,2192.3,1523.1,16.8,895.5,62.1,168.8,17453.4,659.1,4107.2,683.5,2820.1,55.8,66.6,64.2,93.6,90.2,214.9,17.1,36.5,34.7,1656,2307.1,1363.5,11877.1,10396.6,9837.7,477.5,1301.3,4094.9,578.7,1542.6,5233.6,1014.3,1526.1,87.3,1439.2,1130.2,549.1
"c45",979.2,1539,1635.2,206.7,639.4,13.9,77.9,18306.1,687.2,5575.9,675.1,2526.9,86.5,39.1,96.7,19.9,23.1,136.3,8.1,19.9,57.8,1985.9,1475.8,1029.7,12310.3,9620.5,9714,463.9,1352.5,3362.5,450.6,1773.8,5790.8,809.9,1200.2,223.7,1666.5,965,489.1
"c46",1375.1,2802.4,1329.3,98.8,54.7,21.6,110.8,324.9,607.5,2429.1,629.3,1817.4,114.8,99.6,52.9,20.6,7.1,88.5,12,102.6,131.6,1617.3,1216.7,1328,6417.9,5943.9,9764,602.3,836.6,3332.9,681.3,544.6,3379.5,1528,1323.6,292.3,812.2,676.2,510.6
"c47",1339.4,2538.2,1288.9,129.7,353.4,32.4,27.7,257.9,736.4,2328.8,514.8,1727.7,23.9,7.6,3.4,60.2,30.3,88.4,62.4,96.2,169.1,1338.1,1244.6,1384.9,7377.9,5897.7,10484.5,705.9,1046.6,3252.3,476,479.2,3404.5,1315.1,1387.1,217,902.9,1120.3,562.9
"c48",1116.6,3898.5,1354,59,238.3,14.7,21.7,278.3,833.9,2753.8,892.1,2582.4,88.8,93.1,59.9,11.9,61.5,133.7,23.7,8.4,14.6,1551.8,1232.3,1692.3,4827,7329.6,6603.7,618.6,1395,4201,805.9,745.8,3525.8,1689.5,1770.8,503.9,1015.4,696.1,430.1
"c49",705.8,2054,1399.9,117.2,337.7,9.3,236.8,10138.9,573.2,3611.7,790,1842.3,168.9,9.2,45.1,15.3,38.5,107.3,77.3,9.9,37.7,1798.8,1685.9,1268.7,8626.8,7819,9056.8,690.4,1308.8,3366.3,637.3,893.1,3949,1151.9,1398.9,226.3,1047.6,767.3,370.8
"c50",894.5,2340.2,1712.7,174,387.5,23.2,143.2,9540.9,669.8,3307.6,681.1,2055.6,12.3,14.6,17.2,22.3,9.7,157.4,12.7,54,19,1672.2,1635.5,1173.5,8176.9,7637.2,8512.8,671.3,1300.7,3632.2,674.7,920.9,3613.2,986.3,880,350.5,1001.9,725.4,385.4
"c51",756.9,2193.4,1604.9,134.9,460.1,21.2,64.5,11121,730.9,3960.3,596.1,2426.8,74.7,36.2,8.9,25,55.8,92.6,23.5,52.3,16,1699.7,1460.4,1425.2,7700.7,8449.9,8286.9,651.5,1668.5,3551.6,651,1185.9,3965.2,1004.2,1344.7,339.2,1182.2,1058.2,306.2
"c52",805.4,1906.6,1684.8,458.7,124.1,331.6,195.6,5728.9,1117.9,923.7,433.3,996.5,166.2,204.4,390.4,269.2,133.7,203.9,207.8,120.4,817.2,1252.3,759.1,561.1,2879.9,3619.5,6541.8,594.3,962.8,1933.8,544.9,795,2317.2,760.3,1446.6,439.8,459.9,492.5,693.3
"c53",822.4,2770.9,1284.9,86.4,81.4,6.5,26.7,6113.8,608.6,1769.6,1041.5,2134.1,134.9,9.7,72.3,29.8,16,113,14.4,22.7,69.9,1064,1200.7,1329.2,5438.4,4466.6,10060.5,623,1364.4,3300.1,877.6,1025.7,2746.4,1044.8,1805.9,369.7,437.6,415,602.7
"c54",939.7,2777.6,1406.3,149.2,99.2,31.2,15.8,8610.3,682.1,3095.1,984.1,2670.4,26.5,5.5,57.9,15.5,27.2,167.4,5.4,5.8,53.1,1555.7,1373,1678.7,5835,5736.2,8269.7,630.4,1432.9,4284,944.5,1042.5,3102.1,1124.6,1776.5,334.3,548.2,537.6,370.7
"c55",1930.5,2679.6,664.6,164.9,1377.7,86.2,65.7,14323.4,578.9,2321,444,3431.8,110.3,109.8,4.8,18.5,4.6,43.6,15.1,29,102,1076.3,1230.5,2294.9,6369.5,3147.2,16260.7,600.4,1380.5,3915.3,502.3,249,1523.1,1192.9,2022.1,270.9,2082.7,1975.5,526.1
"c56",1010.8,1916.2,1408.6,117.1,967,11.8,40.8,16367.4,663.7,4748.6,599.9,3124.6,87,23.1,22.7,15.7,63.6,88.4,11,11.7,14,1872,2540.5,1287.7,11908.6,10929.8,9730.8,672,1477.2,4289.7,627.4,1671.6,5076.5,929.4,1478.9,240.7,1383.6,1039,492.4
"c57",944.1,2152.6,967.8,84.8,268.7,7.9,81.6,11682.6,631.2,3486.2,600,3763.8,12.7,7,56.1,17.3,64.1,37.8,46.9,8.2,102.4,1268.6,1747.2,770.7,5853.4,6511.1,15781.1,438.2,2348.6,4059.3,746.9,1663.5,3624.4,958.9,1918.4,307.6,535.9,316.8,396.4
"c58",902,2150.6,1435.5,252.3,107.3,33,110.4,16954.4,555.1,5734.9,794.9,1682.6,15.2,24.1,54.1,24.9,68.8,14.6,5.9,9.1,58.6,1362.2,651.3,941.6,3834.3,9171.8,12820.2,553.5,2347.2,2830.6,551.7,800.3,4747.2,765.3,1315.2,260.6,421.5,421.4,473.5
"c59",696.1,2258.3,1302.8,156.8,105.7,68.4,92,10446,560.3,4158.2,1003.2,3961.4,119.3,76,50.5,36.7,82.8,19.9,75.5,49.8,146.2,1185.7,1233.2,1018.7,2853.2,6937.2,11200.5,523.5,2285.3,3774.3,715.3,1062.3,3168.6,1241.1,1596.9,332.2,366.8,185.6,438.5
"c60",629.8,1843.6,1355.8,153.7,307,10.6,100.4,12709.3,594.7,3819.8,681.7,3288.1,27.5,12.5,51.3,15.9,14,39.9,64.2,3.4,107,1128.8,1267.5,840.5,4721.2,7112,16244.2,302.7,1822.6,4554.9,666.8,1266,3831.7,1032.4,1427.8,282,386.1,217,466.1
"c61",664.4,2958.6,1256.9,105.1,114.2,81,103.2,12734.8,536.2,4409.8,657.7,3217.4,67.5,72.7,61.6,25.7,6.4,21.6,55.7,6.5,18.1,1759.9,2337.3,853.7,3105,8965.5,12620.3,434.1,1479.2,3521.4,396.9,706.5,4046.3,1076.7,1370.6,341.8,370.6,212.7,414.4
"c62",679.7,1934.6,1788.3,116.5,258.9,6.9,225.3,14393.9,709,5851,622.3,1235.3,11,44.3,6.4,128.6,4.2,13.4,54.1,42.8,19.1,1717.8,1287.2,849.2,4207.1,11593.9,11760.4,760.3,2017,3003.7,717.2,1468.5,5514.8,765.6,889,222.5,416.6,356.1,420.1
"c63",831.2,2340.8,1110.3,40.7,436.3,9.2,16.7,15165,564.6,4575.4,796.4,3724,24.5,53.4,13.4,18.5,26.3,24.9,34.1,2.7,37.8,1112.1,1018.3,999.6,5872.2,7731,15643.1,506.9,2427.2,3589.4,940,1411.9,4666,957.3,1304.5,219.2,472.2,395.3,456.3
"c64",854.1,2548.2,1062.8,69.6,144.8,5.7,109.7,10002.4,738.7,4108.7,736.9,1736.7,38,44.9,2.2,110,10.2,63.5,48.1,82.6,9.4,1427.1,1831.3,1344,3835.8,8654.8,12338.8,470.2,2111,3418.8,666.2,931,2987.5,1231.1,1525.4,128.6,389.9,318.1,375.5
"c65",865,1926.5,1449.5,264.7,327.7,14.1,75.9,13405.4,740.4,6289.1,836.5,1404.2,16.9,24.2,93.9,33.2,64.3,61.4,16.5,25,19.3,1267,1982.8,1135.6,2957.7,9553.4,13020.8,570.7,2602.7,3164.8,501.6,749.1,6396.9,1077.6,1341.7,347.3,464.2,344.8,385
"c66",347.4,1168.3,1246.8,76.4,306.7,8.8,81.2,2945,279.2,2736.8,631.7,1235.4,31,108.6,69.8,87.1,8.2,8,27.9,8.9,23.4,1970.1,4713.4,1036.5,1591.9,3952.8,9172.2,324.5,396.5,2768.2,895.6,1255.3,5298.3,605.9,964.8,100.2,362.4,385.6,661.4
"c67",450.2,1278,1596,62.7,677.9,10,112.9,5399,215.2,4564.3,654.2,1911.8,10.5,14.5,54.7,88.4,56.3,6.6,12.8,28.2,10.3,2285.4,4044.5,772.7,2260.8,2954.1,7445.2,202.9,1102.5,4449.6,1098.6,2750.5,10254.4,530.5,1119.5,96.6,1250.3,420.8,408.3
"c68",511.7,1181.8,1375.7,18.8,349.1,20.4,25.7,5658,321.1,3871.2,445.7,1333.1,90.6,17,23.5,136.4,16.4,4.5,12,11.1,17,2447.2,4211.3,763.7,1566.9,4037.4,9994.1,254,932.2,3495.8,582.1,1886.9,8780.8,480.2,896.3,44.3,592.3,383.2,429.1
"c69",383.2,1275.4,1357.3,118,602.4,23.7,29.7,14032.9,418.1,7032.6,556.3,1699,31.5,40.3,32.3,123.7,9.5,8.7,6.5,5.3,9.6,2181.1,2827.4,989,6907.8,7362.4,11706.2,394.6,2191.9,3155.6,519.1,1950.6,8440.7,446.9,1160.3,33.4,1482.8,540.4,412
"c70",747.9,1737.2,1117.6,95.7,1222,8.9,30.8,15213.3,697.2,4985.4,469,2500.4,14.7,33.6,1.9,19.9,49.2,146.7,4.2,10.6,14.2,2068,1541.3,1484,7353.9,9064.9,10823.9,484.7,1713.5,4775.1,427.7,750.1,3387.6,857.7,1409.3,310.8,2617,2053,471.6
"c71",780.4,1962.7,1076.8,98.1,1207.5,9.5,83.9,14988,736.9,4528.9,575.1,2707.6,55.5,13.7,72.5,107.6,34.1,71.1,6.7,5.4,8.8,2337.8,1350.7,1527.8,7256,8701.5,11557.6,456,1506.4,5277.1,583.2,890.9,3228.4,795.5,1215.3,370.6,2712.8,2041.3,422.4
"c72",643.9,1998.5,980,91.9,1456.2,6.9,55.9,14566.5,760.6,4750.7,434,2582.9,12,60.1,5.1,32.8,3,64,10.9,19,76.6,2054,1361.9,1619.3,8045.7,8079,11974.5,474.2,1303.7,4773.7,619.7,680.8,3207.4,794.9,1199.1,341.7,3376.4,2288.6,398.3
"c73",737.2,1736.3,958.7,19.9,1580.6,65.9,28.2,14049.2,627.3,4606.7,450.4,2287.1,102.1,95,41.7,6.7,36.3,88,15.3,1.7,20.1,2147.9,1580,1683.1,8605.7,7885,11675.7,361,927.1,4299.7,503.3,626,3404.1,798.9,1110.1,357.9,3091,2401.5,423.8
"c74",1028.1,1507.7,904.8,80,3471.8,7.8,38.3,21073.8,598.9,3068.6,323.3,1611.7,10.4,76.7,31.4,109.2,60.6,73,26.3,34.9,24,2049.6,1113.9,1444.4,15029,7001.1,22316.3,508.3,612.8,4175,488.2,591.2,2910.6,850.3,1080.6,216.3,3185.6,3918.1,609
"c75",1099.3,1459,894.8,174.1,3352.2,6.5,42.1,24445.4,629.8,2841.8,210.2,1870.2,53.4,24.1,16.6,111,11.9,124.7,10.8,3.7,79.8,1686.7,1141.9,1555.2,15619.8,7228.7,23614.5,562.1,1000.4,4069.8,264.2,528.6,2957.2,797.8,1539.2,198.9,3605.6,3788.8,611
"c76",1151.5,1589.6,877.8,160.7,2554.8,8.5,94.2,19364.3,590.2,3124.1,425.5,1912.7,99.1,7.8,2.7,36.5,99.9,111.8,10.6,6.1,15.6,1648.9,1217.7,1639.1,13724.5,6743.5,18483.2,398.4,955.1,4298.3,562,622.4,3108.9,900.2,1166.3,286.9,3231.1,3412.3,544.3
"c77",1100.7,1424,885.8,60,2576.6,11.2,81.7,21384.8,581.3,2780.2,272.9,1293,23.8,27.4,15.3,23.8,53.1,80.8,11.5,9.4,36.6,2076.1,1184.2,1519.3,14885.5,6522.4,21333.4,359.1,861.9,3968.1,470.9,480.4,3066.9,742.1,1123.9,212.5,3502.6,3532.8,529.8
"c78",1081.6,913,876,77.6,3877.5,12,8.6,20641.1,460.7,2209.1,75,997.3,34.2,94.7,97.8,21.9,62.9,23.2,9.8,59.8,15.3,1774.1,1164.4,1998.3,14938.4,5906,18224.4,502.3,511,3668.8,527.8,545,2861.6,409.6,961.4,93,3705.6,3826,563.5
"c79",1292.3,1076.6,869,89.7,4972.3,3.1,119,22309.9,600.5,2025.2,226.9,1028.4,84.6,45.9,28.8,38.5,79.9,47.4,10.1,2.2,81.9,1895.7,1161.6,1896.4,17720,5617.9,18065,408.2,547.7,3778.8,485.6,593.3,2890,491.8,1111.5,127.3,3953.9,4174.1,640
"c80",1333.4,1157.2,871.7,70.7,3460.2,5.8,78.7,23174.5,567.4,2328.1,76.7,1241.7,12,36.7,2.1,61.7,6.1,73.4,10.6,32.4,24.4,1594.2,1124.4,1762.1,18097,6310,22364.3,472.6,539,3495.2,402.7,435,2947.6,601.7,999.4,207.1,3872.2,3793.1,560.4
